scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
gopinath-munde-shetkari-apghat-suraksha-sanugrah-audhan-yojana,Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana,GOPINATH MUNDE SHETKARI APGHAT SURAKSHA SANUGRAH AUDHAN YOJANA,State,Family,Not specified (state scheme),Maharashtra,"Agriculture,Rural & Environment",Compensation;Person With Disability;General;Direct Benefit Transfer;Assistance;Farmer,In order to give financial support to the aggrieved family members of the ill-fated farmers the State Govt. has provided accident claim cover through Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana in the year 2023-24.,,2.0,"Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana. In order to give financial support to the aggrieved family members of the ill-fated farmers the State Govt. has provided accident claim cover through Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana in the year 2023-24. Category: Agriculture,Rural & Environment. Tags: Compensation, Person With Disability, General, Direct Benefit Transfer, Assistance, Farmer."
ckpkn,Appointment of Contract Sports Coaches,ACSC,State,Individual,Not specified (state scheme),Uttarakhand,Sports & Culture;Skills & Employment,Sports;Employment;Coach;Sports Trainer,"The scheme facilitates the annual appointment of contract-based sports coaches to conduct various local training camps across Uttarakhand, thereby promoting employment opportunities and strengthening the state’s grassroots sports infrastructure.",,1.0,"Appointment of Contract Sports Coaches. The scheme facilitates the annual appointment of contract-based sports coaches to conduct various local training camps across Uttarakhand, thereby promoting employment opportunities and strengthening the state’s grassroots sports infrastructure. Category: Sports & Culture, Skills & Employment. Tags: Sports, Employment, Coach, Sports Trainer."
ssyuk,Samaaveshit Shiksha,SVSUK,State,Individual,Not specified (state scheme),Uttarakhand,Education & Learning,Inclusive Education;Divyang Student;Differently Abled;Assistive Devices;Samagra Shiksha,The scheme aims to provide equal and inclusive educational opportunities to all children with special needs (Divyang children) studying in government schools from Classes 1 to 12.,,1.0,"Samaaveshit Shiksha. The scheme aims to provide equal and inclusive educational opportunities to all children with special needs (Divyang children) studying in government schools from Classes 1 to 12. Category: Education & Learning. Tags: Inclusive Education, Divyang Student, Differently Abled, Assistive Devices, Samagra Shiksha."
awvsssi,Award Of Stipend To VJNT And SBC Students Studying In ITI,AWVSSSI,State,Individual,Not specified (state scheme),Maharashtra,Social welfare & Empowerment,Vimukta Jati Nomadic Tribes;Special Backward Class;Technical Education;ITI,The Government of Maharashtra launched a scheme that provides to encourage Vimukta Jati and Nomadic Tribes (V.J.N.T.) & Special Backward Class (S.B.C.) students and promote the interest in Technical education.,,1.0,"Award Of Stipend To VJNT And SBC Students Studying In ITI. The Government of Maharashtra launched a scheme that provides to encourage Vimukta Jati and Nomadic Tribes (V.J.N.T.) & Special Backward Class (S.B.C.) students and promote the interest in Technical education. Category: Social welfare & Empowerment. Tags: Vimukta Jati Nomadic Tribes, Special Backward Class, Technical Education, ITI."
lbssf-els,Loan Based Schemes For Safai Karamchari - Education Loan Scheme (ELS),LBSSF-ELS,Central,,Ministry Of Social Justice and Empowerment,All,"Education & Learning;Banking,Financial Services and Insurance;Social welfare & Empowerment",Professional Course;Technical Course;Education Loan;Student;Manual Scavengers;Waste Pickers;Safai Karamcharis,"An Education Loan scheme by the Ministry of Social justice and Empowerment for Safai Karamchari, Manual Scavengers, and their dependents aged 18 years and above.",,,"Loan Based Schemes For Safai Karamchari - Education Loan Scheme (ELS). An Education Loan scheme by the Ministry of Social justice and Empowerment for Safai Karamchari, Manual Scavengers, and their dependents aged 18 years and above. Category: Education & Learning, Banking,Financial Services and Insurance, Social welfare & Empowerment. Tags: Professional Course, Technical Course, Education Loan, Student, Manual Scavengers, Waste Pickers, Safai Karamcharis."
ifptpssguj,To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Prawn Seed Stocking - Gujarat,IFPTPSSGUJ,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Fish;Fish Activities;Fish Production;Scheduled Tribes;Fishermen;Prawn Seed;Stocking,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities.,,3.0,"To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Prawn Seed Stocking - Gujarat. The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities. Category: Agriculture,Rural & Environment. Tags: Fish, Fish Activities, Fish Production, Scheduled Tribes, Fishermen, Prawn Seed, Stocking."
pmmsylbeguj,Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Large Biofloc Establishment Culture System - Gujarat,PMMSYLBEGUJ,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Fish Farming;Biofloc;Recirculating Aquaculture System;Employment;Large Biofloc Establishment,"The scheme aims to increase fish production by rearing fish in reservoirs, provide employment to people involved in inland fisheries activities, accelerate inland fish farming activities in freshwater bodies, and boost inland fisheries.",,3.0,"Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Large Biofloc Establishment Culture System - Gujarat. The scheme aims to increase fish production by rearing fish in reservoirs, provide employment to people involved in inland fisheries activities, accelerate inland fish farming activities in freshwater bodies, and boost inland fisheries. Category: Agriculture,Rural & Environment. Tags: Fish Farming, Biofloc, Recirculating Aquaculture System, Employment, Large Biofloc Establishment."
sps,Savitribai Phule Scholarship For V.J.N.T And S.B.C Girls Students Studying In 8th To 10 Std,SPS,State,Individual,Not specified (state scheme),Maharashtra,Social welfare & Empowerment;Education & Learning;Women and Child,Pre-Matric;SBC;Scholarship;Special Backward Classes;Vimukta Jati And Nomadic Tribes,"Savitribai Phule Scholarship is a Scholarship Scheme by the Social Justice and Special Assistance Department, Govt. of Maharashtra, to encourage enrollment and to decrease the dropout ratio of Girls in education.",,1.0,"Savitribai Phule Scholarship For V.J.N.T And S.B.C Girls Students Studying In 8th To 10 Std. Savitribai Phule Scholarship is a Scholarship Scheme by the Social Justice and Special Assistance Department, Govt. of Maharashtra, to encourage enrollment and to decrease the dropout ratio of Girls in education. Category: Social welfare & Empowerment, Education & Learning, Women and Child. Tags: Pre-Matric, SBC, Scholarship, Special Backward Classes, Vimukta Jati And Nomadic Tribes."
ferts,"Fish Extension, Research, and Training Scheme",FERTS,State,Infra,Not specified (state scheme),Jharkhand,"Agriculture,Rural & Environment",Financial Assistance;Fishermen;Training;Skill Development,"The Fish Extension, Research, and Training Scheme by the Department of Fisheries, Government of India aims to promote sustainable fishing practices and improve fish production. Through this scheme, financial and technical assistance are provided to fish farmers and others in the fisheries sector.",,3.0,"Fish Extension, Research, and Training Scheme. The Fish Extension, Research, and Training Scheme by the Department of Fisheries, Government of India aims to promote sustainable fishing practices and improve fish production. Through this scheme, financial and technical assistance are provided to fish farmers and others in the fisheries sector. Category: Agriculture,Rural & Environment. Tags: Financial Assistance, Fishermen, Training, Skill Development."
adthsg,Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,ADTHSG,State,Individual,Not specified (state scheme),Tamil Nadu,Education & Learning;Housing & Shelter,Tribal Welfare;Adi Dravidar;Students;Hostels;Education;Accommodation,The scheme provides hostel facilities to all boys and girls boarders studying up to XII Standard.,,1.0,"Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides. The scheme provides hostel facilities to all boys and girls boarders studying up to XII Standard. Category: Education & Learning, Housing & Shelter. Tags: Tribal Welfare, Adi Dravidar, Students, Hostels, Education, Accommodation."
otejtpss,Out of Turn Employment to Sportspersons in State Services,OTESSS,State,Individual,Not specified (state scheme),Uttarakhand,Sports & Culture;Skills & Employment,Employment;Sports Quota Jobs;Athletes;Jobs;Sportspersons;Sports,"The scheme aims to provide job opportunities to medal-winning sportspersons of Uttarakhand, who have represented the state in international and national games, by offering them out-of-turn employment in various state services.",,1.0,"Out of Turn Employment to Sportspersons in State Services. The scheme aims to provide job opportunities to medal-winning sportspersons of Uttarakhand, who have represented the state in international and national games, by offering them out-of-turn employment in various state services. Category: Sports & Culture, Skills & Employment. Tags: Employment, Sports Quota Jobs, Athletes, Jobs, Sportspersons, Sports."
tloiis,The Lokpal of India Internship Scheme,TLOIIS,Central,Individual,The Lokpal of India,All,Education & Learning;Skills & Employment,Financial Assistance;Student;Internship;Stipend,"The Lokpal of India launched the Internship Scheme for the interns to learn about the implementation of the Lokpal & Lokayuktas Act, the Prevention of Corruption Act, the Central Vigilance Commission Act, & they can contribute towards the effective functioning of the Lokpal of India with fresh ideas",,1.0,"The Lokpal of India Internship Scheme. The Lokpal of India launched the Internship Scheme for the interns to learn about the implementation of the Lokpal & Lokayuktas Act, the Prevention of Corruption Act, the Central Vigilance Commission Act, & they can contribute towards the effective functioning of the Lokpal of India with fresh ideas Category: Education & Learning, Skills & Employment. Tags: Financial Assistance, Student, Internship, Stipend."
dsdais,Devnarayan Scooty Distribution And Incentive Scheme,DSDAIS,State,Individual,Not specified (state scheme),Rajasthan,Education & Learning;Women and Child,Financial Assistance;Resources For School;Education;Higher Education,The Government of Rajasthan has launched the Devnarayan Chatra Scooty Yojana Scheme for the year 2023 in order to encourage female students in the state to study and to address the state’s low female literacy rate.,,1.0,"Devnarayan Scooty Distribution And Incentive Scheme. The Government of Rajasthan has launched the Devnarayan Chatra Scooty Yojana Scheme for the year 2023 in order to encourage female students in the state to study and to address the state’s low female literacy rate. Category: Education & Learning, Women and Child. Tags: Financial Assistance, Resources For School, Education, Higher Education."
spuk,Samman Pension Yojana for All First-Generation Living Legal Heirs of Freedom Fighters of Uttarakhand State,SPYAFGLHFFUKS,State,Family,Not specified (state scheme),Uttarakhand,Social welfare & Empowerment,Pension;Freedom Fighter;Samman;Living Legal Heirs;First-Generation,"The scheme provides financial assistance of ₹4,800/- per month as pension to all first-generation living legal heirs of freedom fighters residing in the state of Uttarakhand.",,2.0,"Samman Pension Yojana for All First-Generation Living Legal Heirs of Freedom Fighters of Uttarakhand State. The scheme provides financial assistance of ₹4,800/- per month as pension to all first-generation living legal heirs of freedom fighters residing in the state of Uttarakhand. Category: Social welfare & Empowerment. Tags: Pension, Freedom Fighter, Samman, Living Legal Heirs, First-Generation."
issspwd,Integrated Social Security Scheme: Pension for Women in Distress,ISSSPWD,State,Individual,Not specified (state scheme),Ladakh,Social welfare & Empowerment;Women and Child,Pension;Woman;Distress;Destitute Widow;Divorced Woman;Deserted Woman;BPL,"The scheme is implemented by the Social and Tribal Welfare Department, Administration of Union Territory of Ladakh. Under this scheme, a financial assistance of ₹1,000/- per month is provided as a pension to destitute widows, divorced, or deserted women with no source of income.",,1.0,"Integrated Social Security Scheme: Pension for Women in Distress. The scheme is implemented by the Social and Tribal Welfare Department, Administration of Union Territory of Ladakh. Under this scheme, a financial assistance of ₹1,000/- per month is provided as a pension to destitute widows, divorced, or deserted women with no source of income. Category: Social welfare & Empowerment, Women and Child. Tags: Pension, Woman, Distress, Destitute Widow, Divorced Woman, Deserted Woman, BPL."
fcds,Floriculture Development Scheme,FCDS,State,Individual,Not specified (state scheme),Meghalaya,"Agriculture,Rural & Environment",Floriculture;Agriculture;Farmer;Subsidy;Flower;Horticulture,The objective of the scheme is to motivate the farmers to take up floriculture (traditional and non-traditional flowers) as a commercial venture through the distribution of planting materials and other inputs.,,1.0,"Floriculture Development Scheme. The objective of the scheme is to motivate the farmers to take up floriculture (traditional and non-traditional flowers) as a commercial venture through the distribution of planting materials and other inputs. Category: Agriculture,Rural & Environment. Tags: Floriculture, Agriculture, Farmer, Subsidy, Flower, Horticulture."
aaelss,Assam Abhinandan Education Loan Subsidy Scheme,AAELSS,State,Individual,Not specified (state scheme),Assam,"Banking,Financial Services and Insurance",Education;Loan;Student,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education.",,1.0,"Assam Abhinandan Education Loan Subsidy Scheme. ""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education. Category: Banking,Financial Services and Insurance. Tags: Education, Loan, Student."
vaibhav,VAIshwik BHArtiya Vaigyanik (VAIBHAV) Fellowship,VAIBHAV,Central,Infra,Ministry Of Science And Technology,All,"Education & Learning;Science, IT & Communications",VAIBHAV;Fellowship;Fellow;Research;Science,VAIBHAV Fellowship envisages collaboration between scientists of Indian Diaspora with Indian Higher Educational Institutions/Universities/Public Funded Scientific Institutions. Fellow would identify an Indian Institution for collaboration & may spend upto two months in a year for a max. of 3 years.,,3.0,"VAIshwik BHArtiya Vaigyanik (VAIBHAV) Fellowship. VAIBHAV Fellowship envisages collaboration between scientists of Indian Diaspora with Indian Higher Educational Institutions/Universities/Public Funded Scientific Institutions. Fellow would identify an Indian Institution for collaboration & may spend upto two months in a year for a max. of 3 years. Category: Education & Learning, Science, IT & Communications. Tags: VAIBHAV, Fellowship, Fellow, Research, Science."
fansgdcs,Financial Assistance To Non-School Going Disabled Children Scheme,FANSGDCS,State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,Disabled Children;School;Financial Assistance;Mentally Retarded;Disability,"The scheme “Financial Assistance To Non-School Going Disabled Children Scheme” was launched by the Department of Social Justice and Empowerment, Government of Haryana during the years 2008-09.",,1.0,"Financial Assistance To Non-School Going Disabled Children Scheme. The scheme “Financial Assistance To Non-School Going Disabled Children Scheme” was launched by the Department of Social Justice and Empowerment, Government of Haryana during the years 2008-09. Category: Social welfare & Empowerment. Tags: Disabled Children, School, Financial Assistance, Mentally Retarded, Disability."
msybc,Mahila Samiriddhi Yojana for Backward Classes- Haryana,MSYBC-H,State,Infra,Not specified (state scheme),Haryana,"Banking,Financial Services and Insurance;Business & Entrepreneurship;Women and Child",Mahila;Woman;Backward Classes;Woman Entrepreneur;Loan;Self-help Group,"This scheme, implemented by the Haryana Backward Classes and Economically Weaker Sections Kalyan Nigam, provides loans up to ₹1,25,000/- per beneficiary exclusively to women entrepreneurs of the target group, either directly or through self-help groups.",,3.0,"Mahila Samiriddhi Yojana for Backward Classes- Haryana. This scheme, implemented by the Haryana Backward Classes and Economically Weaker Sections Kalyan Nigam, provides loans up to ₹1,25,000/- per beneficiary exclusively to women entrepreneurs of the target group, either directly or through self-help groups. Category: Banking,Financial Services and Insurance, Business & Entrepreneurship, Women and Child. Tags: Mahila, Woman, Backward Classes, Woman Entrepreneur, Loan, Self-help Group."
sstsc,Sanctioning Spectacles to Senior Citizens,SSTSC,State,Individual,Not specified (state scheme),Andhra Pradesh,Social welfare & Empowerment,Senior Citizens;Spectacles;Empowerment,"The ""Sanctioning Spectacles to Senior Citizens"" scheme aims to provide spectacles to senior citizens. This initiative ensures that eligible senior citizens receive the necessary support to improve their vision and enhance their quality of life.",,1.0,"Sanctioning Spectacles to Senior Citizens. The ""Sanctioning Spectacles to Senior Citizens"" scheme aims to provide spectacles to senior citizens. This initiative ensures that eligible senior citizens receive the necessary support to improve their vision and enhance their quality of life. Category: Social welfare & Empowerment. Tags: Senior Citizens, Spectacles, Empowerment."
mfal,Modular Functional Artificial Limbs,MFAL,State,Individual,Not specified (state scheme),Tamil Nadu,Social welfare & Empowerment,Orthopedically;Artificial Limbs;Differently-abled Person;Student;Self-employed;Employed,"The 'Modular Functional Artificial Limbs' scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, modular functional artificial limbs are provided for orthopedically differently-abled students, employed or self-employed.",,1.0,"Modular Functional Artificial Limbs. The 'Modular Functional Artificial Limbs' scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, modular functional artificial limbs are provided for orthopedically differently-abled students, employed or self-employed. Category: Social welfare & Empowerment. Tags: Orthopedically, Artificial Limbs, Differently-abled Person, Student, Self-employed, Employed."
atestas,Awarding Teleeducation Scholarships To Afghan Students,ATESTAS,Central,Individual,Ministry Of External Affairs,All,Education & Learning,Higher Studies;Afghanistan;Scholarship;Education;E-Learning,"The ""Awarding Teleeducation Scholarships To Afghan Students"" scheme under e-VidyaBharati Network Project, launched by the Ministry of External Affairs, offers 1000 annual scholarships to Afghan students for UGC-approved online UG and PG programs from Indian universities.",,1.0,"Awarding Teleeducation Scholarships To Afghan Students. The ""Awarding Teleeducation Scholarships To Afghan Students"" scheme under e-VidyaBharati Network Project, launched by the Ministry of External Affairs, offers 1000 annual scholarships to Afghan students for UGC-approved online UG and PG programs from Indian universities. Category: Education & Learning. Tags: Higher Studies, Afghanistan, Scholarship, Education, E-Learning."
nmoen,National Mission on Edible Oil- Oil Palm: Nursery,NMOEN,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Edible Oil;Nursery;Farmer;Subsidy,"The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers.",,1.0,"National Mission on Edible Oil- Oil Palm: Nursery. The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers. Category: Agriculture,Rural & Environment. Tags: Edible Oil, Nursery, Farmer, Subsidy."
mkapy,Mukhyamantri Kanya Abhibhavak Pension Yojana,MKAPY,State,Individual,Not specified (state scheme),Madhya Pradesh,Women and Child;Social welfare & Empowerment,Pension;Daughter;Parent;Financial Assistance;Family,The scheme aims to provide financial support to parents or couples who have only daughters. The scheme provides a recurring monthly pension amount of ₹500/- (Rupees 500) to the eligible recipient or couple. The applicant must be a resident of the state of Madhya Pradesh.,,1.0,"Mukhyamantri Kanya Abhibhavak Pension Yojana. The scheme aims to provide financial support to parents or couples who have only daughters. The scheme provides a recurring monthly pension amount of ₹500/- (Rupees 500) to the eligible recipient or couple. The applicant must be a resident of the state of Madhya Pradesh. Category: Women and Child, Social welfare & Empowerment. Tags: Pension, Daughter, Parent, Financial Assistance, Family."
igsccy,Indira Gandhi Shehri Credit Card Yojana,IGSCCY,State,Individual,Not specified (state scheme),Rajasthan,Social welfare & Empowerment,Empowerment;Unemployment;Financial Assistance;Covid,Indira Gandhi Urban Credit Card Scheme-2021 is implemented to provide employment / self-employment opportunities in urban areas and to provide financial resources for everyday needs.,2022-03-31,1.0,"Indira Gandhi Shehri Credit Card Yojana. Indira Gandhi Urban Credit Card Scheme-2021 is implemented to provide employment / self-employment opportunities in urban areas and to provide financial resources for everyday needs. Category: Social welfare & Empowerment. Tags: Empowerment, Unemployment, Financial Assistance, Covid."
atpipordasspsrsfms,Rani Durgavati and Shankarshah Puraskar Scheme (Reward Scheme for Meritorious Students),ATPIPORDASSPSRSFMS,State,Individual,Not specified (state scheme),Madhya Pradesh,Education & Learning,Pre Matric;Education;Scholarship;Merit;Student,"""Rani Durgavati and Shankarshah Puraskar Scheme (Reward Scheme for Meritorious Students)"" provides awards ranging from ₹3,000/- to ₹51,000/- to the meritorious students from the Scheduled Tribe community based on their performance in the 10th and 12th board examinations.",,1.0,"Rani Durgavati and Shankarshah Puraskar Scheme (Reward Scheme for Meritorious Students). ""Rani Durgavati and Shankarshah Puraskar Scheme (Reward Scheme for Meritorious Students)"" provides awards ranging from ₹3,000/- to ₹51,000/- to the meritorious students from the Scheduled Tribe community based on their performance in the 10th and 12th board examinations. Category: Education & Learning. Tags: Pre Matric, Education, Scholarship, Merit, Student."
ascswstrsdlsxxiisma,Award to Scheduled Castes Students Who Secured Top Ranks at State and District Level in Standard X & XII (Sahuji Maharaj Assistance),ASCSWSTRSDLSXXII(SMA),State,Individual,Not specified (state scheme),Gujarat,Education & Learning,Student;SC;Top Rank;Award;Cash Prize,"Under the scheme, Scheduled Castes Category students who have Secured Top Ranks at State and District Levels in Gujarat in Standard X & XII are given cash prizes. Cash prizes are awarded to the first three students who secure the highest ranks in both Standard X and Standard XII across all streams.",,1.0,"Award to Scheduled Castes Students Who Secured Top Ranks at State and District Level in Standard X & XII (Sahuji Maharaj Assistance). Under the scheme, Scheduled Castes Category students who have Secured Top Ranks at State and District Levels in Gujarat in Standard X & XII are given cash prizes. Cash prizes are awarded to the first three students who secure the highest ranks in both Standard X and Standard XII across all streams. Category: Education & Learning. Tags: Student, SC, Top Rank, Award, Cash Prize."
isss-ppcp,Integrated Social Security Scheme - Pension For Physically Challenged Persons,ISSS-PPCP,State,Individual,Not specified (state scheme),Jammu and Kashmir,Social welfare & Empowerment,Pension;PwD;Disability;Social Welfare,ISSS-PPCP is a State Sponsored Scheme by the Social Welfare Dept. of the Govt. of J&K wherein financial assistance is provided to Physically Challenged Person who have meager support or no source of livelihood. A pension of ₹1000 per pensioner per month is deposited into their bank account.,,1.0,"Integrated Social Security Scheme - Pension For Physically Challenged Persons. ISSS-PPCP is a State Sponsored Scheme by the Social Welfare Dept. of the Govt. of J&K wherein financial assistance is provided to Physically Challenged Person who have meager support or no source of livelihood. A pension of ₹1000 per pensioner per month is deposited into their bank account. Category: Social welfare & Empowerment. Tags: Pension, PwD, Disability, Social Welfare."
eogu,Establishment of Goat Unit (10 +1),EOGU,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Animal Husbandry;Goat Breeding;Goat Unit,"The ""Establishment of Goat Unit (10+1)"" scheme by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to promote the social and economic upliftment of goat breeders by encouraging goat breeding and genetic improvement through pure breeding.",,1.0,"Establishment of Goat Unit (10 +1). The ""Establishment of Goat Unit (10+1)"" scheme by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to promote the social and economic upliftment of goat breeders by encouraging goat breeding and genetic improvement through pure breeding. Category: Agriculture,Rural & Environment. Tags: Animal Husbandry, Goat Breeding, Goat Unit."
msgsy,Mukhyamantri Svadeshi Gau Samvardhan Yojana,MSGSY,State,Individual,Not specified (state scheme),Uttar Pradesh,"Agriculture,Rural & Environment;Women and Child;Skills & Employment",Milk Mission;Production;Financial Assistance;Farmer;Cow,"The ""Mukhyamantri Svadeshi Gau Samvardhan Yojana"" under the ""Nand Baba Milk Mission"" aims to enhance milk productivity and per capita milk availability in Uttar Pradesh by encouraging the purchase of indigenous improved breed cows from outside the state and employment opportunities in rural areas.",,1.0,"Mukhyamantri Svadeshi Gau Samvardhan Yojana. The ""Mukhyamantri Svadeshi Gau Samvardhan Yojana"" under the ""Nand Baba Milk Mission"" aims to enhance milk productivity and per capita milk availability in Uttar Pradesh by encouraging the purchase of indigenous improved breed cows from outside the state and employment opportunities in rural areas. Category: Agriculture,Rural & Environment, Women and Child, Skills & Employment. Tags: Milk Mission, Production, Financial Assistance, Farmer, Cow."
mtbwodap,Multimedia Training - Tamil Nadu,MTTN,State,Individual,Not specified (state scheme),Tamil Nadu,Skills & Employment,Training;Person With Disability;Multimedia;Locomotor,"The Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu, launched the ""Multimedia Training Program"" for people with locomotor and hearing impairments.",,1.0,"Multimedia Training - Tamil Nadu. The Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu, launched the ""Multimedia Training Program"" for people with locomotor and hearing impairments. Category: Skills & Employment. Tags: Training, Person With Disability, Multimedia, Locomotor."
assy,Atal Shresth Shahar Yojna,ASSY,State,Infra,Not specified (state scheme),Himachal Pradesh,Utility & Sanitation,Atal;Municipal Council;Nagar Panchayat;Sanitation;Cleanliness;Municipal Corporation;Award,"The scheme aims to reward and incentivize the best performing Urban Local Bodies (ULBs) in Himachal Pradesh (Municipal Council/Nagar Panchyat) on the indicators of sanitations/cleanliness, increase utilization, public infrastructure and official work.",,3.0,"Atal Shresth Shahar Yojna. The scheme aims to reward and incentivize the best performing Urban Local Bodies (ULBs) in Himachal Pradesh (Municipal Council/Nagar Panchyat) on the indicators of sanitations/cleanliness, increase utilization, public infrastructure and official work. Category: Utility & Sanitation. Tags: Atal, Municipal Council, Nagar Panchayat, Sanitation, Cleanliness, Municipal Corporation, Award."
ngy,Nandaa Gaura Yojana,NGY,State,Individual,Not specified (state scheme),Uttarakhand,Social welfare & Empowerment;Women and Child,Financial Assistance;Girl Child;Nanda;Gaura,"The scheme aims to provide financial assistance for upto 2 girls in a family. Assistance is given in 2 installments per girl child: 1st installment of ₹11,000 is provided at the time of birth if girl is born in a hospital/ANM center & 2nd installment of ₹51,000 is given when girl passes Class 12th.",,1.0,"Nandaa Gaura Yojana. The scheme aims to provide financial assistance for upto 2 girls in a family. Assistance is given in 2 installments per girl child: 1st installment of ₹11,000 is provided at the time of birth if girl is born in a hospital/ANM center & 2nd installment of ₹51,000 is given when girl passes Class 12th. Category: Social welfare & Empowerment, Women and Child. Tags: Financial Assistance, Girl Child, Nanda, Gaura."
ilpcpmppe,"Issuing Legal Production Certificate (LPC) to Producers of Medicinal Plant Products for Export - Herbal Research and Development Institute, Uttarakhand",ILPCPMPPE,State,Individual,Not specified (state scheme),Uttarakhand,Business & Entrepreneurship,Herbal Products;Herbs;Export Of Products;Legal Production Certificate;Medicinal Plant,"The scheme aims to facilitate the lawful export of endangered and CITES-listed medicinal plant species such as Kuth, Kutki, etc. by issuing Legal Production Certificates (LPC) to cultivators who legally grow these species on their own measured land.",,1.0,"Issuing Legal Production Certificate (LPC) to Producers of Medicinal Plant Products for Export - Herbal Research and Development Institute, Uttarakhand. The scheme aims to facilitate the lawful export of endangered and CITES-listed medicinal plant species such as Kuth, Kutki, etc. by issuing Legal Production Certificates (LPC) to cultivators who legally grow these species on their own measured land. Category: Business & Entrepreneurship. Tags: Herbal Products, Herbs, Export Of Products, Legal Production Certificate, Medicinal Plant."
pmsscsn,Post Matric Scholarship To Scheduled Caste Students Of Nagaland,PMSSCSN,State,Individual,Not specified (state scheme),Nagaland,Education & Learning,Post Matric Scholarship;Student;Scheduled Caste;Nagaland;Higher Education,The Directorate of Higher Education (DHE) has launched the Post Matric Scholarship to ST students of the Nagaland scheme for providing socio-economic welfare to the students belonging to the residentship of Nagaland state. The student must be studying or getting admission to the post-matric class.,,1.0,"Post Matric Scholarship To Scheduled Caste Students Of Nagaland. The Directorate of Higher Education (DHE) has launched the Post Matric Scholarship to ST students of the Nagaland scheme for providing socio-economic welfare to the students belonging to the residentship of Nagaland state. The student must be studying or getting admission to the post-matric class. Category: Education & Learning. Tags: Post Matric Scholarship, Student, Scheduled Caste, Nagaland, Higher Education."
f-ss,Kisan-Vaigyanik Sangoshthi,KVS,State,Individual,Not specified (state scheme),Uttarakhand,"Agriculture,Rural & Environment;Skills & Employment",Farmer;Scientist;Self-help Group;Seminar;Training;Youth;Biotechnology,The scheme aims to guide farmers and youth in biotechnology-based farming and animal husbandry by providing technical training and solutions to enhance self-employment and income generation.,,1.0,"Kisan-Vaigyanik Sangoshthi. The scheme aims to guide farmers and youth in biotechnology-based farming and animal husbandry by providing technical training and solutions to enhance self-employment and income generation. Category: Agriculture,Rural & Environment, Skills & Employment. Tags: Farmer, Scientist, Self-help Group, Seminar, Training, Youth, Biotechnology."
ya,Yatra Anudan,YA,State,Individual,Not specified (state scheme),Uttarakhand,"Science, IT & Communications;Travel & Tourism",Grant;Travel;Researcher;Scientist;UCOST;Scientific Workshop,"The scheme aims to support researchers and scientists in attending international scientific workshops and other programs by providing eligible applicants with travel grants covering up to 50% of the expenses (maximum ₹25,000/-).",,1.0,"Yatra Anudan. The scheme aims to support researchers and scientists in attending international scientific workshops and other programs by providing eligible applicants with travel grants covering up to 50% of the expenses (maximum ₹25,000/-). Category: Science, IT & Communications, Travel & Tourism. Tags: Grant, Travel, Researcher, Scientist, UCOST, Scientific Workshop."
